brain,paw,orientation,pulse_number,latency,amplitude
left,left,90,1.0,8.296500920810315,81.53145823565326
left,left,90,2.0,11.611418047882136,59.80764175339437
left,left,90,3.0,9.622467771639043,44.94677824417669
left,left,90,5.0,9.327808471454881,65.35291499783628
left,left,135,3.0,9.25414364640884,47.88366378106415
left,left,135,4.0,10.211786372007367,29.73110024098647
left,left,135,5.0,9.548802946593003,65.8543638531622
left,left,270,1.0,10.58011049723757,51.68525302882812
left,left,270,2.0,11.169429097605896,98.98126701380255
left,left,270,4.0,8.149171270718234,93.15980140469823
left,left,315,2.0,9.622467771639043,69.63998125188922
left,left,315,4.0,9.548802946593003,61.22196083776582
left,right,0,2.0,11.537753222836095,10.701633372005256
left,right,0,3.0,10.359116022099448,12.572092611935606
left,right,0,4.0,11.758747697974218,13.921924825758342
left,right,45,1.0,10.064456721915287,34.39255139265305
left,right,45,3.0,9.25414364640884,22.84140639192826
left,right,45,5.0,9.548802946593003,22.553135047931864
left,right,90,1.0,14.337016574585636,17.67115359836601
left,right,90,5.0,11.685082872928177,11.656603849385359
left,right,225,1.0,8.738489871086557,26.35789564572392
left,right,225,2.0,9.327808471454881,18.973783577110428
left,right,225,4.0,9.843462246777165,33.30046385474445
right,left,90,2.0,8.812154696132598,87.63253700494704
right,left,90,3.0,9.548802946593003,72.65464140669226
right,left,90,4.0,9.327808471454885,59.50077562007239
right,left,90,5.0,8.812154696132598,63.898801474276766
right,left,135,2.0,10.064456721915287,46.36376434282535
right,left,135,4.0,9.03314917127072,44.779582233262786
right,left,135,5.0,10.58011049723757,40.52475683627179
right,left,270,3.0,8.885819521178638,40.32469701788543
right,left,270,5.0,9.917127071823206,62.57894298123813
right,left,315,1.0,8.517495395948437,51.674802466995104
right,left,315,2.0,8.001841620626152,37.72347553688071
right,right,0,3.0,10.432780847145489,15.39736109445985
right,right,45,1.0,10.506445672191528,26.755563905487836
right,right,90,3.0,9.917127071823206,16.500385168807195
right,right,135,1.0,10.359116022099448,23.685388145851697
right,right,135,2.0,9.475138121546962,32.72046359761529
right,right,225,1.0,10.211786372007367,23.118116981067338
right,right,225,2.0,9.475138121546962,23.72730424292667
right,right,270,5.0,9.548802946593005,15.81479775661241
right,right,315,1.0,9.769797421731123,28.99008428068344
right,right,315,2.0,10.58011049723757,25.485880368866734
right,right,315,3.0,9.990791896869245,25.222958890059896
right,right,315,4.0,9.843462246777165,10.267514819048767
right,right,315,5.0,11.39042357274402,18.57958527607369
